author_name,username,profile_type,post_id,published_at,content,likes,comments,shares,engagement_total,comment_to_like_ratio,media_type,hashtags,post_url
Gain,gain-servicing,own,7387503155120586753,2025-10-24 06:52:02.198,"In personal injury cases, clear communication builds trust.

When providers and attorneys stay connected, cases move faster, and outcomes improve.

Gain makes that connection seamless — ensuring every update is shared, every step is transparent, and every case moves forward with clarity.

#personalinjury #attorneys #legaloperations #casemanagement #GAINportal",7,0,1,8,0.00,text,"[""#personalinjury"", ""#attorneys"", ""#legaloperations"", ""#casemanagement"", ""#GAINportal""]",https://www.linkedin.com/posts/gain-servicing_personal-injury-cases-communication-activity-7387503155120586753-OO_1
Jefferson Fisher,jeffersonfisher,inspiration,7387170966063374336,2025-10-23 13:38:14.677,Here are my top 3 communication mistakes to avoid. Do you catch yourself doing these?,653,25,26,704,3.83,text,[],https://www.linkedin.com/posts/jeffersonfisher_here-are-my-top-3-communication-mistakes-activity-7387170966063374336-wICY
Jefferson Fisher,jeffersonfisher,inspiration,7387109555664687104,2025-10-23 12:55:45.325,"You’ve got a big meeting or tough conversation coming up, and your nerves are kicking in.

As an attorney, here’s how I deal with fighting nerves.

#1. I don’t fight them. I channel them.

I allow my nerves to happen fully. 

Nerves are a good thing. It means I care. 

If I get too comfortable, I get lazy and miss stuff. 

The butterflies come up, and once I open my mouth, that energy goes where I send it. 

Nerves are good—you just have to tell them where to go.

#2. I work on my breathing.

Two short inhales, one long exhale. 

It helps tell your mind that your body is in control of your breathing, not the other way around.

#3. I eliminate uncertainties.

I use a simple decision tree. 

If this happens, I talk about this. If that happens, I talk about that. 

I don’t script it. 

I know my key points and the takeaway, then have a normal conversation so I can adapt.

And that’s how you turn nervous energy into focus when it matters.",1760,44,67,1871,2.50,text,"[""#1"", ""#2"", ""#3""]",https://www.linkedin.com/posts/jeffersonfisher_youve-got-a-big-meeting-or-tough-conversation-activity-7387109555664687104-dqXM
Eliezer,eliezer-nerenberg,team,7386815076835434496,2025-10-22 17:25:54.705,"You can talk about fast turnaround times all day. But nothing beats a real story.

I was working with a practice in Georgia that was getting killed by payment delays. Average time from settlement to payment: 120 days. Their cash flow was a mess.

Here's what we found: They were dealing with 4 different funding companies, each with different paperwork requirements. Half their time was spent just figuring out who needed what.

So we consolidated everything under one roof. Standardized the documentation. Set up automatic case tracking.

Result? Average payment time dropped to 28 days.

But here's the part that really mattered: The office manager could finally focus on patient care instead of paperwork. The doctor could take on more cases without worrying about cash flow. The whole practice ran smoother.

That's not just faster payments - that's a better business.

I share this story not to brag about our process, but because it shows what's possible when you fix the right problem.

Every practice has different pain points. Some need faster approvals. Others need better communication. Some just need someone who actually answers the phone.

The key is figuring out what's really broken before you try to fix it.

What's the biggest operational frustration in your practice? I bet there's a way to solve it.",2,2,0,4,100.00,text,[],https://www.linkedin.com/posts/eliezer-nerenberg_you-can-talk-about-fast-turnaround-times-activity-7386815076835434496-xjwF
Jefferson Fisher,jeffersonfisher,inspiration,7386808590919004161,2025-10-22 13:15:26.303,"You want to ask better questions in meetings.

But you’re worried about sounding inexperienced or unfocused.

Here’s how to fix that 👇🏼",1552,25,58,1635,1.61,text,[],https://www.linkedin.com/posts/jeffersonfisher_you-want-to-ask-better-questions-in-meetings-activity-7386808590919004161-HB76
Jefferson Fisher,jeffersonfisher,inspiration,7386748285845295104,2025-10-22 13:00:30.387,Ever had a difficult coworker? Here's how to handle them with grace.,347,35,7,389,10.09,text,[],https://www.linkedin.com/posts/jeffersonfisher_ever-had-a-difficult-coworker-heres-how-activity-7386748285845295104-dXaV
USClaims,us-claims,competitor,7386730409520365568,2025-10-22 11:49:28.444,"We're #hiring a new Legal Servicing Analyst in Boca Raton, Florida. Apply today or share this post with your network.",4,0,0,4,0.00,text,"[""#hiring""]",https://www.linkedin.com/posts/us-claims_hiring-activity-7386730409520365568-Yz_9
Jefferson Fisher,jeffersonfisher,inspiration,7386463763593498624,2025-10-21 18:09:55.101,"Want to avoid an argument? Here's exactly what to do 👇🏼

https://lnkd.in/dNz_R8Fe",60,2,2,64,3.33,text,[],https://www.linkedin.com/posts/jeffersonfisher_youve-been-talking-all-wrong-in-difficult-activity-7386463763593498624-NKC1
Sally Morin,sallymorinlaw,inspiration,7386204698808266752,2025-10-21 01:00:29.243,"A Bay Area nurse practitioner suffered serious bodily injuries when he fell over a dangerously low ledge in the entryway of his San Francisco apartment. Thanks to Sally Morin Personal Injury Lawyers, finally, he could find some solace from his stress and begin to move forward from the trauma of his fall.

https://bit.ly/3YQBwuZ

#sallymorin #sallymorinlaw #sallymorinpersonalinjurylawyers",1,0,0,1,0.00,text,"[""#sallymorin"", ""#sallymorinlaw"", ""#sallymorinpersonalinjurylawyers""]",https://www.linkedin.com/posts/sallymorinlaw_475000-slip-and-fall-settlement-sally-activity-7386204698808266752-Emmo
Golden Pear Funding,goldenpear,competitor,7386774586698125312,2025-10-20 14:28:49.203,"Which part of the PI ecosystem do you think faces the most pressure?

Every personal injury case depends on connection — between law firms, medical providers, and plaintiffs.

But the pressure of delays and uncertainty doesn’t hit everyone the same way.

⚖️ Law firms juggle timelines, strategy, and client expectations.
🏥 Medical providers deliver care long before payment.
💬 Plaintiffs live the stress and waiting every step of the way.

We explored this ecosystem in our last post — now we want to hear from you 👇

#PersonalInjuryLaw #LitigationFunding #LawFirmGrowth #MedicalProviders #GoldenPear #LegalFinance",0,0,0,0,0,text,"[""#PersonalInjuryLaw"", ""#LitigationFunding"", ""#LawFirmGrowth"", ""#MedicalProviders"", ""#GoldenPear"", ""#LegalFinance""]",https://www.linkedin.com/posts/goldenpear_personalinjurylaw-litigationfunding-lawfirmgrowth-activity-7386774586698125312-mUlQ
Golden Pear Funding,goldenpear,competitor,7386774598102704128,2025-10-20 14:27:11.036,"The Funding Ecosystem: How Firms, Providers & Plaintiffs Intersect

Every personal injury case depends on connection — between law firms, medical providers, and the clients they serve.

⚖️ Law Firms build the case and fight for justice.
🏥 Medical Providers deliver care long before payment arrives.
💬 Plaintiffs live the impact of every delay.

At the center of it all is Golden Pear — the link that keeps the system moving through:

⚡ Fast, transparent funding
📊 Active lien management
💻 Real-time tracking in the Law Firm Portal

Because when everyone in the ecosystem is supported, justice moves faster, and everyone wins.

#PersonalInjuryLaw #LitigationFunding #MedicalProviders #LawFirmGrowth #LegalFinance #GoldenPear",4,0,2,6,0.00,text,"[""#PersonalInjuryLaw"", ""#LitigationFunding"", ""#MedicalProviders"", ""#LawFirmGrowth"", ""#LegalFinance"", ""#GoldenPear""]",https://www.linkedin.com/posts/goldenpear_the-funding-ecosystem-activity-7386774598102704128-1z3R
Golden Pear Funding,goldenpear,competitor,7386044811297894400,2025-10-20 14:25:09.09,"💼 We don’t just fund cases, we fund confidence.

Because when you’re backed by Golden Pear, you don’t have to second-guess timelines, cash flow, or case strength.

✔ Fast underwriting decisions
✔ Transparent, non-recourse terms
✔ Dedicated support for law firms, plaintiffs, and medical providers

Funding isn’t just about capital, it’s about control, momentum, and peace of mind.

That’s what confidence feels like.

👉 Partner with Golden Pear and fund your next case with certainty.

#LegalFunding #LitigationFinance #LawFirmGrowth #PersonalInjuryLaw #MedicalProviders #GoldenPear",2,0,1,3,0.00,text,"[""#LegalFunding"", ""#LitigationFinance"", ""#LawFirmGrowth"", ""#PersonalInjuryLaw"", ""#MedicalProviders"", ""#GoldenPear""]",https://www.linkedin.com/posts/goldenpear_legalfunding-litigationfinance-lawfirmgrowth-activity-7386044811297894400-pCo0
Sharon Levy,sharon-levy-15330818,competitor,7386043120272195586,2025-10-20 14:18:25.918,#USClaims#BrilliantMinds!,10,0,0,10,0.00,text,"[""#USClaims"", ""#BrilliantMinds""]",https://www.linkedin.com/posts/sharon-levy-15330818_our-ai-journey-todays-internal-innovation-activity-7386043120272195586-7OgO
USClaims,us-claims,competitor,7386032917765840897,2025-10-20 13:37:53.451,"From Internal Innovation to Industry Impact: USClaims’ AI Journey

At USClaims, innovation isn’t a buzzword — it’s a mindset.
In our latest thought leadership piece, Nicholas Sargent, Manager of AI Adoption, shares how we’re leveraging AI to streamline operations today and create new shared advantages for tomorrow.
“AI doesn’t replace human insight — it amplifies it. Our journey is about using technology to enhance the decisions, connections, and outcomes that matter most.” – Nicholas Sargent

Read how our internal AI initiatives are setting the stage for smarter, more connected solutions across the legal funding industry.
https://lnkd.in/edzVrPbj

#USClaims #AIInnovation #LegalTech #ThoughtLeadership #ArtificialIntelligence #FutureOfWork #InnovationCulture

Call Us Today at (888) 856.6278 – It’s Completely Risk Free",7,0,5,12,0.00,text,"[""#USClaims"", ""#AIInnovation"", ""#LegalTech"", ""#ThoughtLeadership"", ""#ArtificialIntelligence"", ""#FutureOfWork"", ""#InnovationCulture""]",https://www.linkedin.com/posts/us-claims_our-ai-journey-todays-internal-innovation-activity-7386032917765840897-b-x9
Jefferson Fisher,jeffersonfisher,inspiration,7386083789598494722,2025-10-20 11:37:53.395,"Boundaries don’t need an apology.
Protect your peace, not their curiosity.",365,18,13,396,4.93,text,[],https://www.linkedin.com/posts/jeffersonfisher_boundaries-dont-need-an-apology-protect-activity-7386083789598494722-WQhg
Jefferson Fisher,jeffersonfisher,inspiration,7386001754477408257,2025-10-20 11:31:54.953,"No one likes dealing with a toxic person at work.

Here's how to spot them early. 👇🏼",1119,44,33,1196,3.93,text,[],https://www.linkedin.com/posts/jeffersonfisher_no-one-likes-dealing-with-a-toxic-person-activity-7386001754477408257-ZVpt
Darl Chamption,darl-champion-georgia-injury-lawyer,inspiration,7385666389933604864,2025-10-19 13:21:26.406,"Criminal attorneys and criminal runners are promising money and gifts to get Georgia residents to hire them. 

This is just one example. I had a DUI collision case two years ago where a runner offered my client a $500 “signing bonus” and a $10,000 advance. Fortunately, my client saw through it and contacted me. 

This is just one reason why illegal solicitation has to be stopped. The more it is allowed to run rampant, the more competitive the runners get. 

And competiton among runners harms Georgia residents even more. The more lies they tell about who they are. The more misrepresentations they make. The more improper things they offer like money and gifts. 

Georgia residents are easy prey when a State Bar does nothing. Isn’t one of the most fundamental roles of a State Bar the protection of the public from unscrupulous lawyers? 

When State Bars regulate lawyers for the benefit of lawyers, regular people are the victims. We need some major changes in how the Georgia Bar views its role and what it is equipped to do to protect the public.",72,21,4,97,29.17,text,[],https://www.linkedin.com/posts/darl-champion-georgia-injury-lawyer_criminal-attorneys-and-criminal-runners-are-activity-7385666389933604864-OHum
Steve Bashmakov,steve-bashmakov-cpa-69b487,competitor,7385478532904148992,2025-10-19 00:54:57.8,"Can’t wait to join the biggest ABS East yet — Miami, October 20–22! It’s the structured finance industry’s go-to annual meetup.

Let’s connect if you’ll be there! https://lnkd.in/eDNsD5rz",14,0,0,14,0.00,text,[],https://www.linkedin.com/posts/steve-bashmakov-cpa-69b487_ive-registered-for-2025-abs-east-miami-activity-7385478532904148992-Khwx
Sally Morin,sallymorinlaw,inspiration,7385373163196485632,2025-10-18 17:56:15.704,"Call Sally Morin Personal Injury Lawyers at 877-380-8852 about paying for an Amazon truck accident.

https://bit.ly/40I41vh

#sallymorin #sallymorinlaw #sallymorinpersonalinjurylawyers",0,0,0,0,0,text,"[""#sallymorin"", ""#sallymorinlaw"", ""#sallymorinpersonalinjurylawyers""]",https://www.linkedin.com/posts/sallymorinlaw_paying-for-an-amazon-truck-accident-activity-7385373163196485632-phc_
Gain,gain-servicing,own,7386046073963876352,2025-10-18 04:15:29.138,"What if your old lien management process is the reason behind low settlements? 

It's the age of AI and the leading attorneys are using automation, AI and regular alerts for lien management. 

Gain offers attorneys real-time visibility into every case by tracking care, payments, and settlement readiness.

This facilitates confident negotiations, reduces disputes, and secures better outcomes for clients.

Swipe to know more. 
Book a call to get control back of your settlements. 

#medicalliens #casemanagement #personalinjurylaw #personalinjuryattorney #lawfirms #lopservicingplatform #lienservicingplatform #GAINservicing",8,0,0,8,0.00,text,"[""#medicalliens"", ""#casemanagement"", ""#personalinjurylaw"", ""#personalinjuryattorney"", ""#lawfirms"", ""#lopservicingplatform"", ""#lienservicingplatform"", ""#GAINservicing""]",https://www.linkedin.com/posts/gain-servicing_its-2025-choose-the-modern-way-of-managing-activity-7386046073963876352-rEPE
MoveDocs,movedocs,competitor,7385069079625175040,2025-10-17 21:47:56.304,"Just wrapped up our first session on the Law-Di Gras main stage, Beyond the Office Visit: Virtual Care's Solution for Med-Legal. Thank you to the folks from ViewFi and InjuryRx for joining us for this discussion!

On to our next session... Dialing in Diagnostics with Abram Burgher, M.D., Kevin Rosenblatt, MD, PhD, and Miguel (Mike) Pappolla.




#ntlevents #lawdigras #medlegal Robert Simon",55,0,13,68,0.00,text,"[""#ntlevents"", ""#lawdigras"", ""#medlegal""]",https://www.linkedin.com/posts/movedocs_ntlevents-lawdigras-medlegal-activity-7385069079625175040-EUar
Libra Solutions,libra-solutions,competitor,7385024037338415105,2025-10-17 18:48:57.48,MoveDocs is a Legend of Law-Di-Gras! Excited for all that's happening at this electric event this weekend. Lots more to come,0,0,0,0,0,text,[],https://www.linkedin.com/posts/libra-solutions_law-di-gras-is-off-to-a-great-start-in-addition-activity-7385024037338415105-gEOO
MoveDocs,movedocs,competitor,7385018481748099072,2025-10-17 18:26:52.789,"Law-Di-Gras is off to a great start! In addition to presenting on the main stage later this afternoon, our caricature artist is here to turn folks into a masterpiece! Mimosas, Caricature Drawings, Golf Contests, and Demos for a chance to win a Scotty Cameron Studio Style putter... all happening in the MoveDocs room (Aragon IC).

If you're here, come say hi and take home a memento of your time here at Law-Di-Gras! 


The National Trial Lawyers Robert Simon",24,1,1,26,4.17,text,[],https://www.linkedin.com/posts/movedocs_law-di-gras-is-off-to-a-great-start-in-addition-activity-7385018481748099072-GaQ0
Darl Chamption,darl-champion-georgia-injury-lawyer,inspiration,7385009395077754880,2025-10-17 17:50:46.444,"Today I resigned as a Chair and Member of the Georgia Bar's Committee on Attorney-Client Solicitation.

We have a major problem in Georgia, and unless major, systemic changes occur with the State Bar's processes and resources, Georgia residents will continue to be easy prey for criminal lawyers and criminal runners.",181,35,7,223,19.34,text,[],https://www.linkedin.com/posts/darl-champion-georgia-injury-lawyer_today-i-resigned-as-a-chair-and-member-of-activity-7385009395077754880-BmJ-
Golden Pear Funding,goldenpear,competitor,7384967701892440064,2025-10-17 15:05:06.196,"🥇 Welcome to The Waiting Olympics.

The contenders:
🏆 Case Delays
📞 Insurance Hold Times
📑 Lien Negotiations

They’ve been training for months to keep you waiting.

At Golden Pear, we can’t stop insurers from stalling — but we can keep your clients, cases, and providers from losing momentum while they do.

⚡ Fast funding decisions
⚡ Transparent terms
⚡ Real-time portal updates

Because in the race for justice, waiting shouldn’t win gold.

#CaseDelays #PersonalInjuryLaw #LitigationFunding #LawFirmGrowth #LegalFinance #GoldenPear",4,0,1,5,0.00,text,"[""#CaseDelays"", ""#PersonalInjuryLaw"", ""#LitigationFunding"", ""#LawFirmGrowth"", ""#LegalFinance"", ""#GoldenPear""]",https://www.linkedin.com/posts/goldenpear_casedelays-personalinjurylaw-litigationfunding-activity-7384967701892440064-cO_h
Eliezer,eliezer-nerenberg,team,7384966480582373377,2025-10-17 15:00:15.013,"I learned this the hard way: If you don't control the conversation structure, the conversation controls you.

Used to be, I'd jump on calls and just see where things went. Sometimes good, usually messy.

Now I start every important call the same way:

""Here's what I'm hoping to accomplish today: 

I want to understand your current Lien process and see if there's a way we can help streamline it. 

I'll ask some questions about how things work now, share what I've seen work for similar practices, and by the end we'll both know if it makes sense to keep talking. 

Sounds good?""

Three sentences. Sets the whole tone.

Why does this work? Because in the PI world, everyone's busy. Attorneys are juggling cases. Providers are seeing patients. Nobody has time for rambling sales calls.

When you're clear about the purpose upfront, people relax. They know what to expect.

This isn't a sales trick - it's just respect for people's time.

And honestly, it helps me too. When I know exactly what I'm trying to accomplish, I ask better questions and give better answers.

I picked this up after sitting through too many calls that went nowhere because nobody knew what we were actually trying to figure out.

Structure creates clarity. Clarity builds trust. Trust leads to partnerships.

How do you structure important conversations? I'm always looking for better ways to do this.",1,0,0,1,0.00,text,[],https://www.linkedin.com/posts/eliezer-nerenberg_i-learned-this-the-hard-way-if-you-dont-activity-7384966480582373377-JRxQ
Jefferson Fisher,jeffersonfisher,inspiration,7384936699707088914,2025-10-17 13:01:38.467,"You’re in a meeting and someone keeps grilling you with questions.

It feels like cross-examination.

But you can handle it like a pro.

Here’s how:

#1. Say less.

Answer the question and only the question. If they ask, “Do you know what time it is?” the answer is yes or no. You don’t need to tell them the time.

#2. Don’t let them control the rhythm.

People who question fast want you to answer fast. Pause for five seconds before responding. It shows you’re thinking—and it keeps you in control.

#3. It’s okay not to know.

If you don’t remember, say, “I don’t know,” “I don’t recall,” or “I can’t remember.” 

You don’t owe an answer to every question.

That’s how to stay composed under pressure—and make every word count.",1652,43,28,1723,2.60,text,"[""#1"", ""#2"", ""#3""]",https://www.linkedin.com/posts/jeffersonfisher_youre-in-a-meeting-and-someone-keeps-grilling-activity-7384936699707088914-Xq71
Gain,gain-servicing,own,7384641546689638400,2025-10-16 17:29:04.736,"We’re live at Becker’s!

Our team is thrilled to connect with healthcare leaders and discuss smarter ways to drive Revenue Cycle success.


Visit us at Booth 101 and discover how we help providers go beyond settling — and start Gaining. 🚀

Don't Settle, GAIN. 

Darrin Zehr | Melissa Burnett | Connor Mosquera  

#BeckersConference #HealthcareRCM #GainServicing #HealthcareLeaders",22,1,5,28,4.55,text,"[""#BeckersConference"", ""#HealthcareRCM"", ""#GainServicing"", ""#HealthcareLeaders""]",https://www.linkedin.com/posts/gain-servicing_beckersconference-healthcarercm-gainservicing-activity-7384641546689638400-UfcG
cartiga°,cartiga,competitor,7384615120678723585,2025-10-16 15:43:43.72,"Another amazing Paradigm Atlanta recap! 

Huge thanks to EvenUp, Amera Imaging, Veritext Legal Solutions, and Best Case Client Care for making it happen — and to Patrick Wooten, Larry Taylor, Jr., Esq., Evan Kaine, Samuel Wathen, and Diana M. for sharing their insights on leadership, ethics, and practical AI.

It was great seeing so many attorneys and legal professionals come together to learn, network, and grow. Thank you for joining us last week!

🌟 Hosted By: Javan Wells
🎥 Video credit: Purple Thread Films",16,0,1,17,0.00,text,[],https://www.linkedin.com/posts/cartiga_another-amazing-paradigm-atlanta-recap-activity-7384615120678723585-cZcd
Eliezer,eliezer-nerenberg,team,7384604057929199616,2025-10-16 15:00:06.719,"Let me tell you about the moment I realized we had a trust problem in this industry.

I was sitting in a lawyer's office in Atlanta. Great guy, been doing PI for 20 years.

He tells me: ""Eliezer, I've got three cases stuck with my current funder. No updates in two weeks. My clients are asking questions I can't answer.""
That hit me hard.

This wasn't about funding speed or rates. It was about trust.

Here's what happens when funding communication breaks down:

The attorney can't manage client expectations. The provider doesn't know when they'll get paid. The patient starts wondering if their care team is actually coordinated.

Everyone loses confidence.

I've seen this pattern hundreds of times over 15 years. Strong case, good care, but the funding gets stuck in some black box for weeks with no explanation.
The problem isn't usually the money - it's the silence.

So here's what we changed: Every case gets regular updates. Every provider knows exactly when payment hits. Every attorney has my direct number.
Is this more work for us? Absolutely. But it's the right work.

Because when you're dealing with people's medical care and legal recovery, trust isn't optional. It's everything.

I learned this the hard way early in my career. I thought being busy meant I was being productive. Wrong. Being responsive means you're being professional.

Now when lawyers call me, they get straight answers. When providers need updates, they get real timelines. When things go sideways (they always do sometimes), everyone knows what's happening and why.

This isn't about our process being perfect - it's about our communication being honest.

What's your biggest frustration with funding communication? I bet there's a way to fix it.",1,1,0,2,100.00,text,[],https://www.linkedin.com/posts/eliezer-nerenberg_let-me-tell-you-about-the-moment-i-realized-activity-7384604057929199616-Jrdz
