author_name,username,profile_type,post_id,published_at,content,likes,comments,shares,engagement_total,comment_to_like_ratio,media_type,hashtags,post_url
Wouter Born,wouterborn,inspiration,7387190699340816384,2025-10-23 18:18:30.089,"COPY-PASTE Prompt to turn ChatGPT into your CFO:

I want you to assume the role of our CFO, providing strategic, detailed, and actionable insights tailored specifically to our company. Utilize the context below to ensure your answers accurately reflect our financial and strategic perspective.

Company Context:

Business Model: [Provide a clear, concise description of your revenue streams, customer segments, core products/services, pricing strategy, and any unique competitive advantages.]

Key Metrics We Track: [List your primary financial and operational metrics (e.g., ARR, Gross Margin, CAC, LTV, Net Burn, Churn Rate, Operating Cash Flow, EBITDA) and specify the frequency (monthly, quarterly, annually) at which these metrics are reviewed.]

Top Risks We Face: [List significant risks, such as market volatility, customer concentration, regulatory changes, competitive threats, supply chain disruptions, cybersecurity, cash flow challenges, talent retention, or technology dependencies. Provide brief context on why these are critical to your company.]

Goals for This Year: [Clearly state strategic objectives, growth targets, profitability milestones, cost reduction initiatives, fundraising or financing goals, product launches, geographic expansion, and any relevant internal initiatives.]

Instructions for ChatGPT:

• Memorize and integrate the above context deeply into your analytical framework.

• When providing answers, consistently reference specific metrics, risks, and goals from this context.

• Provide practical recommendations supported by clear reasoning and real-world examples or benchmarks where relevant.

• Proactively identify potential challenges and opportunities aligned with our stated business model, metrics, risks, and goals.

• Utilize this context comprehensively in every response unless explicitly instructed otherwise.

**",99,5,0,104,5.05,text,[],https://www.linkedin.com/posts/wouterborn_copy-paste-prompt-to-turn-chatgpt-into-your-activity-7387190699340816384-G9C6
Nathan Saperia,nathansaperia,inspiration,7387156619555512320,2025-10-23 16:03:04.835,"Heading to #AFP2025 in Boston next week.
Not for the CPE credits — for the conversations. I’m not licensed to do anything. And proud of it.
If you’re in FP&A or Strategic Finance and will be there, drop a 👋 — would love to connect between sessions.
#FPandA #StrategicFinance #AFP2025",9,0,0,9,0.00,text,"[""#AFP2025"", ""#FPandA"", ""#StrategicFinance""]",https://www.linkedin.com/posts/nathansaperia_afp2025-fpanda-strategicfinance-activity-7387156619555512320-2d_1
My Profile,saulmateos,own,7387132657274380288,2025-10-23 14:27:51.638,"I showed up at Gain with the wrong playlist.

 Spent my first 30 days drowning in accrual accounting. Building P&L models.
 Reverse-engineering five years of financials.

 Meanwhile? My team was missing cash timing by days.

 We delayed payments. Perfectly avoidable.

 Because I was trying to be the CFO I'd always been. Not the one Gain actually
 needed.

In this week's CFO Lab: What I got wrong, what I fixed, and how to figure out what type of CFO your business needs in your first 90 days.",19,5,1,25,26.32,text,[],https://www.linkedin.com/posts/saulmateos_i-showed-up-at-gain-with-the-wrong-playlist-activity-7387132657274380288-Pabu
Nathan Saperia,nathansaperia,inspiration,7387119689585303553,2025-10-23 13:36:19.915,"Deal activity among the Top 100 accounting firms remains strong, but the tone of investment has shifted. It’s no longer about chasing scale at any price — it’s about aligning growth potential with risk. The story isn’t retreat; it’s normalization after several years of acceleration.

Many of the strongest mid- and upper-tier firms remain independent by choice — some are philosophically averse to private equity, others hold out for valuation levels they believe they deserve, and still others are waiting for the right cultural partner.

At the same time, even large players are now in motion — Crowe, for example, has reportedly entered exploratory conversations. The pipeline hasn’t dried up; it’s just evolving. What’s changing is the underwriting discipline. Investors are still active, but they’re recalibrating how they price risk.

Read more about what's going on in the world of #Acccounting firm transactions — #PrivateEquity or not — in this week's newsletter.",4,0,1,5,0.00,text,"[""#Acccounting"", ""#PrivateEquity""]",https://www.linkedin.com/posts/nathansaperia_acccounting-privateequity-activity-7387119689585303553-XjnR
Erik Lidman,eriklidman,inspiration,7387099235894067202,2025-10-23 12:15:03.504,"FP&A can use this storytelling framework that CFOs love:
(the CFO wants stories, not reports.) 
The SCQA storytelling framework:

1. Situation (S) 

Paint the full picture first. Show where the business stands now - revenue trends, market position, and key metrics. Keep it focused.

Example: ""Our Q1 revenue hit $50M, up 15% YoY, but margins dropped 3 points""

Link operational metrics to financials. If marketing spend jumped 20%, show the conversion rate impact. Numbers without context waste everyone's time.

2. Complication (C) 

Hit the real problem. Don't sugarcoat structural issues. Name the actual business constraints blocking growth.

Example: ""Our fastest-growing product line has the lowest margins, pulling down overall profitability.""

Quantify the impact. If you spot a problem, model out 2-3 scenarios showing exactly how it hurts the bottom line.

3. Question (Q) 

Frame the core decision. What exactly needs to be solved? What trade-offs matter most? Make it specific.

Example: ""Do we push volume growth or optimize pricing to protect margins?""

Always present options, not problems. Your CFO needs clear choices, not open-ended issues.

4. Answer (A) 

Deliver clear actions. What needs to happen? When? Who owns it? Put numbers behind it.

Example: ""Raising prices 5% on low-margin products will boost EBITDA $2M by Q3.""

Build a 30-60-90 day action plan. Show immediate wins, medium-term fixes, and long-term solutions.

The bottom line:

Stop hiding behind spreadsheets.

Your CFO needs 3 things:

1. The real story
2. The core problem
3. The clear path forward

Master this. Own your analysis. Drive results.",69,15,4,88,21.74,text,[],https://www.linkedin.com/posts/eriklidman_fpa-can-use-this-storytelling-framework-activity-7387099235894067202-BiZL
Nicolas Boucher,bouchernicolas,partner,7387039363182014464,2025-10-23 08:17:08.737,"Having to download invoices manually should be banned!
I NEED YOUR HELP!
If, like me, you still have to log in to many software providers' billing portals to download your invoices, I wanted to create this discussion thread to collectively brainstorm and exchange ideas on the best ways you have found to reduce the amount of time and energy needed for this task.

Here are the tricks I’ve already implemented:
1) I set up automation in Gmail so that any email with an invoice PDF is saved to a Google Drive folder
2) I switched from monthly to annual subscriptions
3) When a provider doesn’t send invoices as PDFs, I only download monthly invoices every quarter (I do a quarterly close)

What other tips have you found?",34,27,0,61,79.41,text,[],https://www.linkedin.com/posts/bouchernicolas_having-to-download-invoices-manually-should-activity-7387039363182014464--Gew
Nicolas Boucher,bouchernicolas,partner,7386739020053262337,2025-10-22 12:23:41.022,"Top 10 CFO KPIs: which one is your number one?
👉 Join my Free AI Masterclass: https://lnkd.in/e7BP7-ge

What makes a great CFO?
A great CFO is a CFO that utilizes AI to maximize his performance!

Here is what you will learn in my FREE AI Masterclass,
- Automate reporting, forecasting & analysis without writing code
- Cut days of manual work down to minutes with AI workflows
- Adopt AI securely with confidence
- Keep on top of the rapid developments in tools and when you should use them

Now let's continue with the kpis,

In boardrooms and investor meetings, the right KPI can make the difference between telling a
compelling growth story and losing trust

Here’s a snapshot:
1. Return on Assets – How efficiently you generate profit from investments
2. Return on Equity – The profitability of shareholders’ capital
3. Current Ratio – Can you meet your short-term obligations?
4. Debt-to-Equity – Balance between leverage and equity financing
5. Earnings per Share (EPS) – Profitability on a per-share basis
6. Net Profit Margin – How much of your revenue remains after costs and taxes
7. Return on Assets (ROA) – Efficiency in turning assets into net income
8. Inventory Turnover – How quickly you sell and replace stock
9. Quick Ratio – Liquidity without relying on inventory
10. Operating Cash Flow Ratio – How well operations cover liabilities

Each KPI comes with its formula + definition so your team can apply them immediately.

This isn’t just a checklist—it’s the CFO playbook for smarter, faster decisions.

💬 Which of these KPIs do you rely on most in your role?

🔁 Repost to help your finance network master the essentials.

👉 Join my FREE Masterclass “How to become an AI CFO”
https://lnkd.in/e7BP7-ge",173,21,23,217,12.14,text,[],https://www.linkedin.com/posts/bouchernicolas_top-10-cfo-kpis-activity-7386739020053262337-WQA4
Wouter Born,wouterborn,inspiration,7386736849718788098,2025-10-22 12:15:03.907,"The CFO is not a chief accounting officer anymore.

So if you act like one, the company suffers.

The old CFO worried primarily about accounting principles and compliance. The new CFO focuses on the business itself.

CFOs must:

- Provoke new thinking.
- Challenge the status quo.
- Guide the company toward growth.

The modern CFO must lead with 3 things:

1. Agility.
2. Confidence.
3. True strategic depth.

Don't be enslaved by the numbers. 

You must command them.

This is the future of finance.

AI handles the bad, repetitive work.

So you can focus on truly partnering with the business.

Go and sit down with the COO.

Go and sit down with the other departments.

Challenge what's going on... and be more prepared.

Stop the painful process of manually extracting and transforming data.

Join 26,000+ CFOs getting AI strategies and FP&A insights at cfooffice.io",179,39,9,227,21.79,text,[],https://www.linkedin.com/posts/wouterborn_the-cfo-is-not-a-chief-accounting-officer-activity-7386736849718788098-FEhF
Erik Lidman,eriklidman,inspiration,7386736843679002624,2025-10-22 12:15:02.467,"99% of finance are bad at storytelling. But it doesn't have to be this way.

Stop reporting. Start driving.

Here's how:

1. Steal the narrative from operations
   
Finance always reacts to what happened. Operations control what happens next. Stop waiting for month-end closes to tell your story. Embed yourself in real-time business decisions.
   
When the sales team debates pricing, you're there with margin impact. When product considers features, you're there with unit economics. When HR plans headcount, you're there with cash flow timing.
   
Be part of the decision, not the aftermath.
   
2. Reverse-engineer the decision
   
Start with what needs to happen, then work backward to justify it. Need budget approval? Don't show costs, show the price of saying no. Need headcount? Don't show growth projections; show the workload that breaks without it.
   
Most finance people present what they calculated. Winners present what executives need to hear to act.
   
Build numbers that answer their question, not yours.
   
3. Master the executive translation
   
CFOs think in cash flow. CEOs think in growth. Board members think in risk. Operations think in efficiency. Same numbers, different stories.
   
Learn to flip your narrative based on your audience. The same margin decline becomes a ‘cash preservation opportunity’ for the CFO and a ‘market share defense strategy’ for the CEO.
   
Stop using one-size-fits-all presentations. Wrong audience, wrong message, wrong outcome.
   
The bottom line:

Stop being the numbers guy.
Start being a profit driver.

Finance that wins:

- Turns data into direction.
- Speaks impact, not accounting.
- Drives strategy, not spreadsheets.

Numbers don’t change minds.
Stories do.",77,20,6,103,25.97,text,[],https://www.linkedin.com/posts/eriklidman_99-of-finance-are-bad-at-storytelling-but-activity-7386736843679002624-JWmC
Nathan Saperia,nathansaperia,inspiration,7386735698533392386,2025-10-22 12:10:29.443,"𝗪𝗲𝗲𝗸 𝟯 𝗼𝗳 𝗲𝘃𝗲𝗿𝘆 𝗳𝗶𝗻𝗮𝗻𝗰𝗲 𝘁𝗿𝗮𝗻𝘀𝗳𝗼𝗿𝗺𝗮𝘁𝗶𝗼𝗻 𝗹𝗼𝗼𝗸𝘀 𝘁𝗵𝗲 𝘀𝗮𝗺𝗲. 
The kickoff buzz has faded. 
The consultants are buried in models. 
And the CFO is wondering why nothing actually feels different.

Here’s why: 
Most projects are scoped like IT builds — staffed by smart, hard-working people who’ve never sat in a finance seat. They know decks, not dynamics. They interview for two weeks, then vanish into Excel.

Now, it’s worse. 
Much of the work is done offshore, asynchronously — so the people building your model have never even 𝘮𝘦𝘵 your team. The “consultants” sometimes see the deliverable an hour before the call. 

No context. 
No conviction. 
No chance to QA.

The model works (hopefully). 
The business doesn’t.

That’s why I don’t do scoped projects anymore.

On a retained basis, I can: 
⚙️ Diagnose before prescribing — figure out what’s 𝘢𝘤𝘵𝘶𝘢𝘭𝘭𝘺 broken. 
📈 Re-sequence priorities as the real insights emerge. 
🧠 Embed weekly — pressure-test decisions, mentor analysts, build muscle that lasts.

Projects end when the deliverable ships. 
Partnerships compound every week after.

That’s how finance stops being reactive — and starts running the business.",7,5,1,13,71.43,text,[],https://www.linkedin.com/posts/nathansaperia_%F0%9D%97%AA%F0%9D%97%B2%F0%9D%97%B2%F0%9D%97%B8-%F0%9D%9F%AF-%F0%9D%97%BC%F0%9D%97%B3-%F0%9D%97%B2%F0%9D%98%83%F0%9D%97%B2%F0%9D%97%BF%F0%9D%98%86-%F0%9D%97%B3%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%AE%F0%9D%97%BB%F0%9D%97%B0%F0%9D%97%B2-activity-7386735698533392386-IlaO
Nicolas Boucher,bouchernicolas,partner,7386531785788006400,2025-10-21 22:40:12.713,"Will you join our biggest AI event?
👉 Register here for our free AI bootcamp to learn how to use AI: https://lnkd.in/eN59vsRb

This will be the biggest event on AI for finance, so do you want to be there in the front row or to hear about it from your colleague?

In my 60-minute live AI bootcamp, you will:
- How to conduct a financial analysis in minutes
- How to create finance visuals with AI
- How to build your financial model
- How to conduct data cleaning with AI
- How to perform your cohort analysis
- How to cut your reporting time by 70%
- How to deal with Data Confidentiality with AI
And much more…

👉 Secure your seat now before it's too late here: https://lnkd.in/eN59vsRb",122,6,4,132,4.92,text,[],https://www.linkedin.com/posts/bouchernicolas_will-you-join-our-biggest-ai-event-register-activity-7386531785788006400-FW4h
My Profile,saulmateos,own,7386405914808958976,2025-10-21 14:20:02.876,"The CFOs still waiting for perfect AI tools will lose to the ones building with good enough ones today.

While you're waiting for the enterprise AI solution with:

→ Perfect security
→ Flawless integration
→ Full IT approval

CFO-operators are:

→ Building exec dashboards in Claude (entire KPI system, done)
→ Analyzing 50MB payment files in Julius AI (cohort analysis in 5 minutes)
→ Screenshotting dashboards in ChatGPT (""what's wrong here?"" catches blind spots)
→ Turning board decks from 8 hours to 30 minutes with AI presentation tools

Is it perfect? No.
Does it work? Absolutely.

What changed:

Before: Team spent 80% time on reports
After: Team spends 80% time on analysis

Board deck: 8 hours → 30 minutes
Variance analysis: 2 days → 2 hours

The math:

$300/month for my entire AI stack
40+ hours saved monthly
= $7.50 per hour

One consultant hour: $500
My entire AI stack: $300

The gap isn't closing. It's widening.

Perfect is the enemy of progress.
And in AI, progress compounds daily.

Your move.
Are you building or waiting?",20,9,0,29,45.00,text,[],https://www.linkedin.com/posts/saulmateos_the-cfos-still-waiting-for-perfect-ai-tools-activity-7386405914808958976-xca2
Nathan Saperia,nathansaperia,inspiration,7386376790912471040,2025-10-21 12:24:19.198,"I’ve seen a lot of dragons flying around LinkedIn lately. 🐉🐉🐉
Some real superstars from the Office of the CFO. 
Have you?

Loved the Datarails idea — shining a light on the “unsung heroes of finance.” 
Great creative, great people.

But I’ll admit: I haven’t seen the full list. 
Probably just the ones active on here… 
because that’s where I live too these days.

And yet, the real Office of the CFO is so much bigger than LinkedIn. 
It’s the controller doing reconciliations at 10 p.m. 
The FP&A analyst rebuilding the forecast between board decks. 
The finance ops leader quietly keeping the machine running.

They may never ride a dragon — 
but they keep the kingdom alive. 🏰

So cheers to all the FP&A heroes out there.
Those on the list and not.
You're all riding a dragon in my mind.

#OCFO #FPA #StrategicFinance #Controller 

Congrats on nominations to Jason Hershman Glenn Hopper Alex Holt Sarah S. and countless others that I've missed!",13,4,1,18,30.77,text,"[""#OCFO"", ""#FPA"", ""#StrategicFinance"", ""#Controller""]",https://www.linkedin.com/posts/nathansaperia_ocfo-fpa-strategicfinance-activity-7386376790912471040-Gkez
Erik Lidman,eriklidman,inspiration,7386374467947585536,2025-10-21 12:15:05.36,"FP&A is broken. Most companies want strategic finance partners. Instead, they're getting:

- Excel-bound analysts
- Process-trapped managers
- Backward-looking reporters

3 reasons why this is happening:

1. Wrong focus, wrong results
   
  Traditional FP&A spends time on:
   
  - Forecast updates
  - Budget negotiations
  - Monthly variance reports
   
  What drives business value:
   
  - Growth investment timing
  - Real-time decision support
  - Market opportunity analysis
  - Competitive pricing strategy

2. Broken talent model
   
  Companies still hire for:
   
  - Excel expertise
  - System knowledge
  - Technical accounting
   
  But success requires:
   
  - Decision speed
  - Commercial instinct
  - Business partnership
  - Market understanding

3. Misplaced priorities
   
  FP&A teams measure:
   
  - Report accuracy
  - Forecast precision
  - Process compliance
   
  While businesses need:
   
  - Investment timing
  - Pricing optimization
  - Market share growth
  - Revenue acceleration

Do this:

- KPI: Business growth only
- Learn markets before models
- Connect all analysis to revenue
- Own the business strategy now
- Automate everything that repeats
- Embed directly in sales operations

2025 is the breaking point.

Modern FP&A drives growth.

Traditional FP&A holds things back.",187,28,14,229,14.97,text,[],https://www.linkedin.com/posts/eriklidman_fpa-is-broken-most-companies-want-strategic-activity-7386374467947585536-nIXQ
