Author,Username,Date,Content,Likes,Comments,Shares,Total Engagement,Hashtags,URL,Workspaces
Eliezer Nerenberg,eliezer-nerenberg,2025-10-15,"A doctor called me yesterday asking why his lien payment took 6 months when the case settled 4 months ago.

Good question. Here's what actually happened:

Law firm → Broker → Funding company → Back office → Payment processor → Doctor

Five handoffs. Five opportunities for something to get stuck. Five people who aren't really talking to each other.

I've seen this story play out hundreds of times over the past 15 years.

Patient needs surgery. Case is solid. Lawyer does great work. But the money gets lost in some broker's pipeline for months because nobody wants to take responsibility for the delay.

That's not just inefficient - it's wrong.

Here's what I learned from watching too many of these situations: The more people involved in the funding process, the more places things can break down.

So we built our process differently. When we fund a case, it's a straight line:

Attorney calls me → We review the case → Money moves → Provider gets paid
No broker fees. No middleman markups. No wondering who to call when something goes sideways.

Is our process perfect? No. But it's honest. And when problems come up (they always do), there's one person to call - usually me.

I know this sounds like I'm pitching our service, but here's the real talk: I've seen too many strong cases get derailed by funding delays that had nothing to do with the case itself.

After visiting 200+ law firms, the #1 complaint I hear isn't about rates or terms. It's about communication.

""Where's my funding?"" ""When will the provider get paid?"" ""Why can't anyone give me a straight answer?""

Direct funding fixes this because there's nowhere for information to hide.

What's been your experience with funding delays? I'm genuinely curious about the horror stories out there.",,,,,"[""#1""]",https://www.linkedin.com/posts/eliezer-nerenberg_a-doctor-called-me-yesterday-asking-why-his-activity-7384060453368332288-o1EB,Gain Company
Nate Saperia,nathansaperia,2025-10-14,"𝗧𝗵𝗲𝗿𝗲 𝘄𝗮𝘀 𝗯𝗶𝗴 𝗻𝗲𝘄𝘀 𝗶𝗻 𝗮𝗰𝗰𝗼𝘂𝗻𝘁𝗶𝗻𝗴 𝗹𝗮𝘀𝘁 𝘄𝗲𝗲𝗸. 
Top-15 firm Crowe is exploring private-equity investment.

But there was 𝘦𝘷𝘦𝘯 𝘣𝘪𝘨𝘨𝘦𝘳 news buried deep in that same 𝘞𝘢𝘭𝘭 𝘚𝘵𝘳𝘦𝘦𝘵 𝘑𝘰𝘶𝘳𝘯𝘢𝘭 story — 
a single line almost everyone missed:

👉 𝗖𝗿𝗼𝘄𝗲 𝗶𝘀 𝘂𝗻𝗱𝗲𝗿𝗴𝗼𝗶𝗻𝗴 𝗶𝘁𝘀 𝗳𝗶𝗿𝘀𝘁 𝗲𝘅𝘁𝗲𝗿𝗻𝗮𝗹 𝗮𝘂𝗱𝗶𝘁.

That stopped me. 
Not because it was news to me — 
but because it wasn’t news to anyone else.

I’ve seen this movie before. 
When I ask new clients for their last three years of audited financials, 
it’s usually the easiest question I’ll ask.

Until I started advising accounting firms. 
The first time I asked, the answer was:
→ “We’re prepping for our first audit right now.”

That’s the equivalent of your 𝗖𝗣𝗔 𝗮𝘀𝗸𝗶𝗻𝗴 𝗳𝗼𝗿 𝘆𝗼𝘂𝗿 𝗪-𝟮 and you saying,
→ “I don’t have one.”

This isn’t about private equity. 
It’s about 𝗳𝗶𝗻𝗮𝗻𝗰𝗶𝗮𝗹 𝗱𝗶𝘀𝗰𝗶𝗽𝗹𝗶𝗻𝗲.

You can’t run a firm strategically if you haven’t mastered the basics of your own finance function. 
You can’t forecast, plan, or scale when the foundation hasn’t even been verified.

If you’re not willing to invest in the most basic level of accountability…

That’s not strategy. 
That’s 𝘄𝗶𝘀𝗵𝗳𝘂𝗹 𝗮𝗰𝗰𝗼𝘂𝗻𝘁𝗶𝗻𝗴.",6,1,1,8,[],https://www.linkedin.com/posts/nathansaperia_%F0%9D%97%A7%F0%9D%97%B5%F0%9D%97%B2%F0%9D%97%BF%F0%9D%97%B2-%F0%9D%98%84%F0%9D%97%AE%F0%9D%98%80-%F0%9D%97%AF%F0%9D%97%B6%F0%9D%97%B4-%F0%9D%97%BB%F0%9D%97%B2%F0%9D%98%84%F0%9D%98%80-%F0%9D%97%B6%F0%9D%97%BB-%F0%9D%97%AE-activity-7383974833329512448-v-33,Default
Kristen Gibbons,kristen-gibbons-9200924b,2025-10-14,"🏌️‍♀️ MoveDocs was proud to be a sponsor of the Brain Injury Association of Virginia Charity Golf Tournament!

We were thrilled to meet so many wonderful participants and supporters at this incredible event. It was an honor to be part of an organization that’s making such a meaningful impact in our community.

Already looking forward to the next one! ⛳💙

#MoveDocs #Community #BrainInjuryAwareness #CharityGolfTournament #Virginia #GivingBack

Logan Ferguson Gilbert Mbeo, MD Marc Mintz",23,2,2,27,"[""#MoveDocs"", ""#Community"", ""#BrainInjuryAwareness"", ""#CharityGolfTournament"", ""#Virginia"", ""#GivingBack""]",https://www.linkedin.com/posts/kristen-gibbons-9200924b_movedocs-community-braininjuryawareness-ugcPost-7383967869644144640-HTHM,Gain Company
Nicolas Boucher,unknown,2025-10-14,"NEW EXCEL FEATURE
Excel just released an AI function which creates formulas for you!
Based on the context of the spreadsheet it will propose the most appropriate formula for you.

Here we see that it calculates the profit based on the sales and costs (which are in a table on the side).

I had the chance to see this before thanks to the Microsoft product team and this works really well!
I was quite impressed when I saw it for the first time.

What do you think?",117,14,11,142,[],https://www.linkedin.com/posts/bouchernicolas_new-excel-feature-excel-just-released-an-activity-7383958282828414976-eM4A,Default
MoveDocs,unknown,2025-10-14,"We’re live at SmartAdvocate LLC Connect 2025 in Marco Island, Florida! 👏

Be sure to visit the MoveDocs Booth! We’d love the opportunity to meet you in person and demonstrate how MoveDocs seamlessly integrates with SmartAdvocate LLC to help streamline your workflows and strengthen your cases.

Plus, if you stop by for a quick demo of MoveDocs, you’ll receive a JBL Bluetooth Speaker!",31,,3,34,[],https://www.linkedin.com/posts/movedocs_were-live-at-smartadvocate-llc-connect-2025-activity-7383873878298673152-5Cd5,Gain Company
Saul Mateos,saulmateos,2025-10-14,"The CFO's real job isn't to predict, it's to prepare.

Every board deck wants certainty.

Every forecast pretends to have it.

But here's the truth most people won't say out loud:

No one can predict what's coming.
Not the markets.
Not the customers.
Not even your best model.

I learned that the hard way.

At one company, we had the ""perfect"" capital plan.
Everything lined up demand, margins, cash runway.

Then Silicon Valley Bank collapsed.
Or the IPO market shut down.
Or interest rates doubled.
Or that ""certain"" deal didn't close.

Pick your crisis. They all have the same lesson:

In 72 hours, your perfect plan becomes useless.

That's when I stopped obsessing over precision.
And started focusing on resilience.

Because the CFO's real job isn't to say what will happen 
It's to make sure the company can survive what does.

Preparation beats prediction every time.

You can't control the next downturn,
But you can control your cash discipline.

You can't forecast every customer delay,
But you can model how long you last if revenue slips.

You can't plan for every surprise,
But you can build a balance sheet that absorbs one.

The best CFOs don't sell certainty 
They build systems that bend before they break.

They ask harder questions:

What happens if growth slows 30%?

How long can we sustain this burn?

Which levers buy us time to adjust?

A great forecast gives you a roadmap.
But preparation gives you a parachute.

And when things change and they always do 
It's the parachute that saves the company, not the roadmap.

You don't win by predicting the future.
You win by being ready for it.

What's one way you prepare your team for the unpredictable?",40,14,,54,[],https://www.linkedin.com/posts/saulmateos_the-cfos-real-job-isnt-to-predict-its-activity-7383869848457756672-MPf_,Default
Nicolas Boucher,unknown,2025-10-14,"Excel can build your financial model now in minutes

Open this newsletter to learn how...

And if you want to learn live from me how to reduce costs with AI, join my new Free Masterclass: https://vrtc.io/48jirtn sponsored by Vertice

I will show you:
- How to perform financial analysis with AI to find cost savings
- How to create benchmarking with AI
- How to automate these processes",166,12,5,183,[],https://www.linkedin.com/posts/bouchernicolas_excel-can-build-your-financial-model-now-activity-7383848903684812800-Tapc,Default
Nicolas Boucher,unknown,2025-10-14,"Can you Save 1 hr per day with ChatGPT?

→Start here: Top 100 ChatGPT Tips: https://lnkd.in/epmcQyFw

Time is the scarcest resource for finance professionals

Emails, reports, reconciliations, planning,
your calendar is already full

But what if you could claw back an extra hour
every single day?

That’s exactly what ChatGPT can help you do

In this visual, I mapped 25+ ways finance teams can use ChatGPT to save time every single day, across:

- FP&A
- Budgeting & Forecasting
- Audit
- Tax
- Accounts Payable & Receivable
- General Ledger & Controls
- CFO & Strategy Work

Examples include:

- Strategic planning
- Invoice processing
- Forecast modeling
- Tax code research
- Stakeholder communication
- Vendor messaging
- Financial storytelling
- Audit documentation
... and more.

Most of these prompts take under 30 seconds to run

ChatGPT won't replace finance pros but finance pros who use AI will replace those who don’t

Top 100 ChatGPT Tips here to help you get started: https://lnkd.in/epmcQyFw

👉 Have you started using AI for your work?

🔁 Repost if you think more people in finance should know about this",149,2,8,159,[],https://www.linkedin.com/feed/update/urn:li:groupPost:7037632-7383771090403364865,Default
Nicolas Boucher,unknown,2025-10-13,"My 6 AI plays to cut software waste
👉 Let me show some of them live this Thursday: https://vrtc.io/48jirtn

(made free thanks to Vertice sponsoring it)

Imagine you are the CFO and you see this:
SaaS prices up 11%, but 66% of seats sit idle
Renewal was last week

How would you react?

I'm sure you don't want this to happen again.

This is why we need a repeatable way to find shelfware fast


This is what we will discuss this Thursday.

Here are already some examples on how you can use AI:

1. Use GenAI to surface your true KPIs
Ask an AI model with your raw data: “Which 10 KPIs best represent software spend health—and why?” It spots board-level metrics (logins per paid seat, cost per active user, renewal risk cohorts

2. Run cohort analysis in minutes, not days
Segment by department and show 30/60/90-day activity vs. seats and cost; flag cohorts where activity falls below 5%. Finance teams report 2–8 hours; AI does the first pass in ~2 minutes

3. Automate the data mess
Prompt AI to write scripts (Google Apps Script/Office Script/VBA) to combine tabs, standardize vendor names/SSO IDs, and keep only needed columns. No more manual cleanup

4. Ask AI: “What are 100 things I don’t know but should?”
Drop in a billing summary or describe your stack. You’ll uncover blind spots—SSO mismatches, duplicate tools, zombie seats, or teams paying outside procurement

5. Invest in AI-native finance tools
Auto-categorize transactions, flag anomalies, draft entries, and connect ERP/AP/SSO/vendor exports so usage, billing, and renewals flow into one view

6. Pull data via API—with AI as your helper
Have AI draft a Python script to pull last-login and active-seat counts from Okta, Zoom, Atlassian, or M365; then join across apps. Same pattern for Salesforce renewals.

Your team can find and kill shelfware fast by pairing finance judgment with small AI workflows
Cleaner data, stronger negotiations, less waste—without waiting on engineering

👉 See the AI workflows:
Join me here: https://vrtc.io/48jirtn",59,13,5,77,[],https://www.linkedin.com/posts/bouchernicolas_my-6-ai-plays-to-cut-software-waste-let-activity-7383568084885995520-t-Iy,Default
Gain,unknown,2025-10-13,"Healthcare providers know that delayed PI settlements is a red-flag for their revenue. 

But manual tracking and scattered communications increases the risk of the revenue getting lost.

Without centralized visibility, every case carries uncertainty—delaying collections and increasing write-offs.

Not anymore. Swipe across to know the difference GAIN creates in tracking every dollar. 

Streamline LOP management and protect revenue with Gain.

#healthcareproviders #cashflowmanagement #personalinjurycare #medicalcollections #gainportal #gainforhealthcare",5,,1,6,"[""#healthcareproviders"", ""#cashflowmanagement"", ""#personalinjurycare"", ""#medicalcollections"", ""#gainportal"", ""#gainforhealthcare""]",https://www.linkedin.com/posts/gain-servicing_cash-flow-difference-with-gain-activity-7383520658892247040-5rVg,Gain Company
Nate Saperia,nathansaperia,2025-10-13,"🧭 The roll-up era in accounting may be peaking.

For a while, the math worked beautifully: 
Buy firms cheap, consolidate, sell at a higher multiple.

But that window is starting to close.

PE capital is flooding in. 
Strategics are chasing the same deals. 
And valuations — especially in the mid-market — are getting frothy.

𝗧𝗵𝗲 𝗽𝗮𝘀𝘁 was about acquiring — buying firms cheap, finding synergies, and capturing multiple expansion.

𝗧𝗵𝗲 𝗽𝗿𝗲𝘀𝗲𝗻𝘁 is about integrating — actually making those roll-ups 𝘸𝘰𝘳𝘬. 
Many are realizing that growth on paper isn’t the same as performance in practice. 
The hard part isn’t strategy — it’s execution.

𝗧𝗵𝗲 𝗳𝘂𝘁𝘂𝗿𝗲 will belong to the firms that master operational excellence and build new engines of 𝘰𝘳𝘨𝘢𝘯𝘪𝘤 growth — FP&A, strategic finance, and advisory.

That’s where real, durable value will come from next.

Most accounting firms weren’t built for that kind of execution. 
They were built for 𝘱𝘳𝘰𝘥𝘶𝘤𝘵𝘪𝘰𝘯 and compliance — not integration and scale.

Now the market’s shifting. 
Growth depends on 𝗲𝗳𝗳𝗶𝗰𝗶𝗲𝗻𝗰𝘆, 𝗮𝗹𝗶𝗴𝗻𝗺𝗲𝗻𝘁, 𝗮𝗻𝗱 𝗻𝗲𝘄 𝘀𝗲𝗿𝘃𝗶𝗰𝗲 𝗹𝗶𝗻𝗲𝘀.
It means:
• Turning shared services into true operating leverage
• Using real-time KPIs instead of static reports
• Making finance forward-looking — not backward-reporting
• Expanding into FP&A, strategic finance, and operational advisory
  
That’s how you create value 𝘢𝘧𝘵𝘦𝘳 the deal, not just from it.

Most firms can’t make that shift alone. 
It’s not in their DNA — yet.

The next cycle won’t reward the biggest acquirers. 
It’ll reward the ones who 𝗯𝘂𝗶𝗹𝗱 𝗯𝗲𝘀𝘁.

I help firms make that leap — turning acquisitions into operators, and operators into growth engines.

Ready to make that leap? Let's talk.",18,6,1,25,[],https://www.linkedin.com/posts/nathansaperia_the-roll-up-era-in-accounting-may-be-peaking-activity-7383482903428538368-F4y5,Default
Nicolas Boucher,unknown,2025-10-12,"Does your Finance Team have a clear AI Roadmap?

🇫🇷 Masterclass en Francais: https://lnkd.in/eqbXB6MP (sponsored by Agicap)

In this free webinar with me and Agicap (in French), You will get:
- A roadmap to becoming an AI CFO
- Real use cases with AI tools like ChatGPT, Copilot & Gemini
- Carefully selected best practices based on active corporate experience and feedback in the field of AI applied to finance

When I talk with finance pros, I tell them this:

Without a clear roadmap, finance teams wander into a maze of complexity,
inefficiency, & uncertain results

It's what I have seen as the number 1 problem in using AI

If these are the questions you ask yourself right now:
🔹 Does my AI strategy deliver value?
🔹 Which AI initiatives should I prioritize?
🔹 How do I align AI with my business goals?

You can join us in our upcoming webinar with Agicap
Monday, October 13 at 2:00 PM CEST

👉 Save the date (in French), and join here: https://lnkd.in/eqbXB6MP",75,9,6,90,[],https://www.linkedin.com/posts/bouchernicolas_does-your-finance-team-have-a-clear-ai-roadmap-activity-7383270688381509632-a98K,Default
